rosbag record -o high /vis/odom_pose /vis/traj_path /vis/traj_pose /vis/odom_pose
t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz
1.0100,0.158122,0.151099,1.500000,0.377077,0.360664,0.000000,0.408575,0.392246,0.000000,0.763154,0.002015,0.928078,0.000000,0.000000,0.372385
1.0200,0.161913,0.154725,1.500000,0.381140,0.364565,0.000000,0.403935,0.387857,0.000000,0.763175,0.002038,0.928075,0.000000,0.000000,0.372394
1.0300,0.165745,0.158390,1.500000,0.385156,0.368421,0.000000,0.399183,0.383359,0.000000,0.763195,0.002062,0.928071,0.000000,0.000000,0.372404
1.0400,0.169616,0.162094,1.500000,0.389123,0.372232,0.000000,0.394318,0.378756,0.000000,0.763216,0.002085,0.928067,0.000000,0.000000,0.372413
1.0500,0.173527,0.165835,1.500000,0.393042,0.375996,0.000000,0.389345,0.374047,0.000000,0.763237,0.002109,0.928063,0.000000,0.000000,0.372423
1.0600,0.177477,0.169613,1.500000,0.396910,0.379712,0.000000,0.384263,0.369235,0.000000,0.763258,0.002134,0.928059,0.000000,0.000000,0.372433
1.0700,0.181465,0.173429,1.500000,0.400726,0.383380,0.000000,0.379074,0.364322,0.000000,0.763280,0.002159,0.928055,0.000000,0.000000,0.372443
1.0800,0.185491,0.177281,1.500000,0.404491,0.386998,0.000000,0.373781,0.359309,0.000000,0.763301,0.002184,0.928051,0.000000,0.000000,0.372453
1.0900,0.189555,0.181169,1.500000,0.408202,0.390566,0.000000,0.368384,0.354197,0.000000,0.763323,0.002210,0.928047,0.000000,0.000000,0.372463
1.1000,0.193655,0.185092,1.500000,0.411858,0.394082,0.000000,0.362886,0.348988,0.000000,0.763346,0.002236,0.928043,0.000000,0.000000,0.372473
1.1100,0.197792,0.189050,1.500000,0.415459,0.397546,0.000000,0.357289,0.343684,0.000000,0.763368,0.002263,0.928039,0.000000,0.000000,0.372484
1.1200,0.201964,0.193043,1.500000,0.419004,0.400955,0.000000,0.351593,0.338287,0.000000,0.763391,0.002290,0.928034,0.000000,0.000000,0.372494
1.1300,0.206171,0.197069,1.500000,0.422491,0.404311,0.000000,0.345800,0.332797,0.000000,0.763414,0.002318,0.928030,0.000000,0.000000,0.372505
1.1400,0.210414,0.201129,1.500000,0.425919,0.407611,0.000000,0.339913,0.327217,0.000000,0.763437,0.002346,0.928026,0.000000,0.000000,0.372516
1.1500,0.214690,0.205221,1.500000,0.429289,0.410855,0.000000,0.333933,0.321547,0.000000,0.763461,0.002375,0.928021,0.000000,0.000000,0.372527
1.1600,0.218999,0.209346,1.500000,0.432598,0.414042,0.000000,0.327861,0.315791,0.000000,0.763485,0.002404,0.928017,0.000000,0.000000,0.372538
1.1700,0.223341,0.213502,1.500000,0.435845,0.417171,0.000000,0.321699,0.309948,0.000000,0.763509,0.002434,0.928012,0.000000,0.000000,0.372549
1.1800,0.227716,0.217689,1.500000,0.439031,0.420240,0.000000,0.315449,0.304022,0.000000,0.763533,0.002465,0.928008,0.000000,0.000000,0.372561
1.1900,0.232122,0.221906,1.500000,0.442154,0.423251,0.000000,0.309113,0.298012,0.000000,0.763558,0.002496,0.928003,0.000000,0.000000,0.372572
1.2000,0.236559,0.226154,1.500000,0.445213,0.426200,0.000000,0.302692,0.291922,0.000000,0.763583,0.002527,0.927999,0.000000,0.000000,0.372584
